TOWN_NAME,lat,lon
Moyale,3.51502000000,39.06710000000
Mandera,3.93175000000,41.84010000000
Wajir,1.74579000000,40.06990000000
Marsabit,2.32618000000,37.99980000000
Lodwar,3.12534000000,35.60750000000
Lokitaung,4.26594000000,35.76040000000
Kitale,1.02763000000,35.01970000000
Eldoret,0.51170400000,35.28400000000
Kapenguria,1.23239000000,35.12460000000
Bungoma,0.56627800000,34.56670000000
Kakamega,0.27458900000,34.76400000000
Eldama Ravine,0.04704020000,35.73400000000
Nyahururu,0.03200690000,36.37430000000
Nanyuki,0.01411160000,37.08610000000
Meru,0.03708610000,37.66510000000
Maralal,1.08553000000,36.70390000000
Rumuruti,0.26108100000,36.55040000000
Isiolo,0.35358300000,37.60050000000
Kisumu,-0.11552500000,34.77700000000
Homa Bay,-0.53062600000,34.45890000000
Kisii,-0.68453700000,34.77820000000
Nyamira,-0.53038900000,35.02760000000
Kericho,-0.37439300000,35.27110000000
Kilgoris,-1.01451000000,34.88210000000
Bomet,-0.78197900000,35.35120000000
Londiani,-0.16755000000,35.59540000000
Narok,-1.09776000000,35.86380000000
Njoro,-0.33116100000,35.94510000000
Nakuru,-0.28473300000,36.07850000000
Elburgon,-0.30848100000,35.81550000000
Naivasha,-0.72179800000,36.43750000000
Ngong,-1.37484000000,36.65520000000
NAIROBI,-1.28350000000,36.81110000000
Thika,-1.04874000000,37.07960000000
Sagana,-0.66988400000,37.20250000000
Nyeri,-0.41950600000,36.95560000000
Embu,-0.53784800000,37.44830000000
Chuka,-0.33367600000,37.65590000000
Machakos,-1.51700000000,37.26090000000
Kajiado,-1.85020000000,36.79380000000
Namanga,-2.53946000000,36.78900000000
Taveta,-3.39276000000,37.67170000000
Voi,-3.39762000000,38.56790000000
Kwale,-4.16856000000,39.45360000000
Mombasa,-4.05734000000,39.66130000000
Kilifi,-3.62993000000,39.84900000000
Malindi,-3.22538000000,40.11520000000
Lamu,-2.27550000000,40.89490000000
Kitui,-1.37431000000,38.01230000000
Mwingi,-0.94309400000,38.06070000000
Garissa,-0.45713200000,39.65060000000
Wote,-1.79834000000,37.62540000000
Usenge,-0.06220760000,34.07010000000
Muranga,-0.71649300000,37.15910000000
Karatina,-0.48486700000,37.13850000000
